feature,trend_slope_log_window,spearman_window_correlation,mean_cv,mean_iqr,mean_missing_rate,mean_stability_inverse_var,mean_skew,mean_kurtosis
activity,0.964070618488821,0.288622343729045,0.978437658852727,8.347306166754828,0.0,0.013010243419964835,3.93049910479824,19.242530525481037
alpha_ratio,0.003061207213921738,0.06949475087619088,0.2391077025995636,0.05854070331702132,0.0,666.7227508404544,0.6912877882432902,1.9995420359551295
beta_alpha_ratio,0.08229110794509835,0.08877797904724205,0.37793259359150194,0.6307371843264169,0.0,3.9912383233494206,2.13280429387392,15.88639328206833
beta_ratio,0.018588318369890763,0.1964635389635018,0.1489611863149264,0.06159889657482484,0.0,564.895517852366,0.21784325209391792,0.6226980120312735
entropy,0.9808897454520712,0.9557719521404775,0.05900294463977468,0.3625597635904948,0.0,8.109575494894303,-2.240884001564898,7.042136078875004
faa_f3_f4,0.00446837972065057,0.04695591275418303,60.4996322897523,0.5441932093102392,0.0,7.8455197310447415,-0.09316259519765897,0.2775170673507572
faa_f7_f8,0.008062409308520141,-0.014650244779305105,0.42728554547442266,0.776528478256718,0.0,3.5776774295689986,-0.17559834384627673,0.4180595683598639
faa_fp1_fp2,-0.003972480781497737,-0.07400251850059245,15.238285747312084,0.2847858424263578,0.0,28.819377874424653,-0.05824616143346652,0.5457497049453008
frontal_alpha,-0.6790155994146143,-0.06799216166805702,0.5174401356058185,4.492825749482299,0.0,0.14890305396195494,1.8701006491486607,13.600225083489926
frontal_beta,0.02139023522526534,0.006386004134568892,0.7259263006096927,6.77495892014924,0.0,0.03575061665388456,3.9506920387567543,37.75905686791121
frontal_gamma,-0.08921682289872239,-0.003631257252990154,0.9940264977770508,5.442765584327372,0.0,0.05076182876654057,4.165491376229701,39.11638698149493
frontal_occipital_alpha_ratio,-0.11205524118404721,-0.14838068430321835,0.495671934626595,1.2664770995305499,0.0,3.126736402444291,1.3163476908662934,3.5531676762381745
gamma_beta_ratio,-0.0022825230961489597,-0.014650244779305105,0.25839061034285316,0.17430674114438785,0.0,70.27841820510707,1.0947602330770219,3.136258019954529
gamma_ratio,0.010946744881145736,0.152387588858242,0.2528067955321323,0.048428233177503235,0.0,704.5360533701356,0.9267165268747269,3.287851089287208
occipital_alpha,0.09775352752135932,0.08126503300657276,0.8393230885830265,3.7883211411961124,0.0,0.09332322679197393,3.299617357086628,23.47396625290462
temporal_alpha,-0.08287690935274006,-0.05096281730920665,0.9138808184774689,1.5330578318464465,0.0,0.49151404130966875,3.8433628483731113,31.50449734800644
temporal_beta,-0.015520022555168295,-0.0046329833917460594,1.79776190308743,0.943111119257697,0.0,0.78085496996805,6.3644937168163525,64.43348672510288
theta_ratio,-0.01884603760218504,-0.15889880876015536,0.2509565023230011,0.08967867787206839,0.0,322.7365928423172,0.34312917637356677,1.0062230929756295
