window_size,subject,trial,label,n_windows,n_features,missing_rate,row_valid_rate,feature_valid_rate,sparsity_rate,matrix_entropy,mean_abs_corr,effective_rank_proxy,similarity_mean,similarity_std,feature_mean_of_means,feature_mean_of_stds,feature_mean_of_vars,stability_score
200,1.0,7.0,0.0,451.53333333333336,18.0,0.0,1.0,1.0,0.0,2.2386593350414916,0.20010507514385542,9.268358792341699,0.27740317176794993,0.3716718860629145,7.33190262611273,9.773133092250315,1215.4039386728714,0.02324949091725436
400,1.0,7.0,0.0,225.26666666666668,18.0,0.0,1.0,1.0,0.0,2.284122842002016,0.22731121053600095,8.611920264363752,0.38718146177920143,0.3539491714779678,6.904560682376341,6.000321079405213,313.6030289140446,0.04189499300556902
600,1.0,7.0,0.0,149.46666666666667,18.0,0.0,1.0,1.0,0.0,2.291718278382848,0.24718468916934613,8.375067941993612,0.4073302494352763,0.3535494533299864,6.992310036094011,5.857750008156587,362.34080390077503,0.05280896844044044
800,1.0,7.0,0.0,111.8,18.0,0.0,1.0,1.0,0.0,2.3093656334235253,0.27321974861910664,8.282488431307275,0.5029081708552468,0.3311634469924352,7.02752531532914,4.718529561383013,220.86171659520554,0.07119708385188019
1000,1.0,7.0,0.0,89.26666666666667,18.0,0.0,1.0,1.0,0.0,2.2892756697651424,0.2879030931844225,8.146180801377279,0.47096072503844033,0.33741268336742203,7.097030503742954,4.566666264522092,202.42675393485072,0.07328881322086618
1200,1.0,7.0,0.0,74.06666666666666,18.0,0.0,1.0,1.0,0.0,2.312614830973973,0.3046358413355961,7.949874029789783,0.4964884199587472,0.3315335797858904,7.07902850516912,4.114197046641712,167.97500590372613,0.08627987717043935
1400,1.0,7.0,0.0,63.13333333333333,18.0,0.0,1.0,1.0,0.0,2.299305431675834,0.30766449606904733,8.085396467425973,0.46138380514451083,0.3367145887107564,7.219841964178566,4.459779410373241,219.64863805396308,0.0962181573514009
1600,1.0,7.0,0.0,55.13333333333333,18.0,0.0,1.0,1.0,0.0,2.2893196143097905,0.32527865342714973,7.996381043460322,0.5067623486993481,0.32837613312971387,7.175000085518532,3.9299625292579807,171.84174419182827,0.10982418182239581
1800,1.0,7.0,0.0,48.733333333333334,18.0,0.0,1.0,1.0,0.0,2.2798513225281836,0.3378092621651826,7.825598597943316,0.5332637279536208,0.32759098443150936,7.291175481744086,4.133963214478675,196.44142627067393,0.10884678122461053
2000,1.0,7.0,0.0,44.0,18.0,0.0,1.0,1.0,0.0,2.286466746931482,0.3504621027974154,7.732795298131088,0.5074306803582022,0.3267769444595738,7.248706545114983,3.7541014600959945,159.00801139195613,0.11805989215661737
