subject,trial,window_a,window_b,delta_stability,delta_similarity,delta_entropy,delta_missing_rate,delta_mean_abs_corr,delta_effective_rank
1,0,200,400,0.00028132563061970643,0.09477790706109868,0.0512146289744162,0.0,0.0342786564948952,-0.6839823427400162
1,0,400,600,7.963186982891911e-05,0.005054474168522893,-0.05140558474295309,0.0,0.009377873104792211,-0.48731851418411587
1,0,600,800,0.00016456410074380465,0.09450710573846244,-0.0015962641523965537,0.0,0.024037312177257186,-0.5486952669304062
1,0,800,1000,0.00019163170533146017,-0.03671119747251472,-0.0584783148039858,0.0,0.005359533810266659,0.6540318456643464
1,0,1000,1200,6.576492915726789e-05,0.007167484103644317,0.10511344913908727,0.0,0.006673155356116511,-0.20629387361893858
1,1,200,400,0.0015824045903328043,0.08052091570767034,0.048150688314874124,0.0,0.022916794601725438,-1.1301841090221956
1,1,400,600,0.0005480754848394241,0.03633728811256898,-0.002385695758195805,0.0,0.029809887904634458,-0.8307047892899071
1,1,600,800,0.0004818332637390177,0.06720221475281568,0.02581480116849777,0.0,0.013759053891191253,0.3274536642154562
1,1,800,1000,0.00019808327421758434,0.046024967099330016,-0.04681606909516045,0.0,0.018918564688137463,-0.5411750181005921
1,1,1000,1200,0.0007926970794854653,0.004582073315235635,-0.013829492257276588,0.0,0.019781919242202795,-0.49387473502905976
1,2,200,400,0.00044121382952949005,0.09646916194481187,0.0273633863881817,0.0,0.04063196920905626,0.34067467460736545
1,2,400,600,-0.00018877568327135082,-0.010617349135483067,-0.015404680097086842,0.0,0.040728404316747124,-0.3030277876786349
1,2,600,800,0.0005556608414660005,0.1329655764113883,-0.040579724858338384,0.0,0.11099014071311808,0.3088689794309718
1,2,800,1000,0.0003518731237534508,-0.05440098952496336,-0.02142262423936847,0.0,0.03136356465940843,-0.02421691792659808
1,2,1000,1200,0.0016961189394642175,0.012495177640530986,-0.04943140459675455,0.0,-0.026548826544568693,0.3805688536884939
1,3,200,400,0.06595463615129633,0.15933907336943542,-0.010697413709160664,0.0,0.02987342694136505,-0.31764687681364023
1,3,400,600,0.04415827481775239,0.008745308689942721,0.04718491994333052,0.0,0.016567654529136944,-0.25353178502609985
1,3,600,800,0.020415936055230177,0.11526315054822173,-0.009344965794497728,0.0,0.03050284391248745,-0.20726894314177713
1,3,800,1000,0.011067657813191661,-0.0325988330533733,-0.04461299499858429,0.0,0.012642830640788083,-0.35634881402118523
1,3,1000,1200,0.01760496811382825,0.04001326235100633,0.11862699955405276,0.0,0.009665656081126461,-0.2439126142002923
1,4,200,400,0.0007861993913828402,0.13643196389427442,0.013051192054950977,0.0,0.036828962026599604,-0.7145330060574633
1,4,400,600,0.0003071653121563666,0.025551080940215798,0.01543556792581846,0.0,0.026967729339369806,0.17256916522885302
1,4,600,800,0.00040045316507016007,0.07591603150331788,0.041596421171788744,0.0,0.021081239029755172,0.5451475564755883
1,4,800,1000,-0.0002068325725060249,-0.057309588959360114,-0.015430466645176999,0.0,0.04385150467732918,-0.6520372204821978
1,4,1000,1200,0.0001382772365933517,0.018209703373345987,0.02604532603598031,0.0,0.019440452114555362,0.14776238963121013
1,5,200,400,0.006411236752184631,0.1111474289192963,0.022560616885714868,0.0,0.013430172845704968,-0.8091449148182708
1,5,400,600,0.0026076601996280063,0.03907032648181896,0.03143020446104661,0.0,0.015091853188974741,-0.44188231216728546
1,5,600,800,0.0026466752000270932,0.07648541811871135,0.0017136010496625609,0.0,0.007054095718550646,-0.6206268738920375
1,5,800,1000,0.0022972949642032434,-0.08640026689034824,-0.005768417790837255,0.0,0.0056370024395683005,-0.04945082805313028
1,5,1000,1200,0.0009944809863668413,0.07289056504546598,0.035909308552790176,0.0,0.025560490196109703,-0.21976787120115482
1,6,200,400,2.74784784690871e-05,0.11573843327199262,0.07743882896353504,0.0,0.026377523973050487,-0.4125753827644729
1,6,400,600,5.609942785178221e-06,0.014710852899557703,0.0478967458305819,0.0,0.02085903628806232,-0.020571246931004872
1,6,600,800,5.436605700853345e-06,0.07594999041771561,0.0405782218219235,0.0,0.01796901947444679,-0.5921424432802995
